"","cells","cost","disturbance","dist_2075","LC","NT","VU","EN","CR"
"CAPTAIN (simple)  >> PrioritizR only",4096,0.123433573376717,0.23840911100524,0.303143415709201,NA,4.915771484375,2.258056640625,0.4326171875,0.78662109375
"CAPTAIN (simple)  >> CAPTAIN only",3522,0.138969997320199,0.60320519489246,0.617630461944832,NA,4.78989210675753,3.57524134014765,0.543441226575814,0.850369108461097
"CAPTAIN (simple)  >> both",1305,0.181866625971678,0.335538566072555,0.396304697038113,NA,4.79003831417625,3.6536398467433,0.510344827586205,0.995402298850575
"CAPTAIN (future)  >> PrioritizR only",3955,0.12683925285692,0.24242956421883,0.304710265195324,NA,4.80151706700383,2.23160556257901,0.448040455120097,0.779013906447534
"CAPTAIN (future)  >> CAPTAIN only",3381,0.138542295622049,0.603561849428931,0.617745805671671,NA,4.7080745341615,3.59923099674653,0.566104702750653,0.844128955930193
"CAPTAIN (future)  >> both",1446,0.166853816317387,0.315070968822036,0.382934966481408,NA,5.11479944674965,3.58990318118949,0.460580912863075,0.995850622406639
"CAPTAIN (future + multi time step)  >> PrioritizR only",3184,0.106097074533401,0.244852904761536,0.309161311761948,NA,4.10113065326629,2.24717336683417,0.50910804020101,0.738065326633166
"CAPTAIN (future + multi time step)  >> CAPTAIN only",2610,0.189333467654021,0.583118550048364,0.58652587169603,NA,5.78084291187739,3.46704980842912,0.420689655172411,0.974712643678162
"CAPTAIN (future + multi time step)  >> both",2217,0.182727459688644,0.286328325954626,0.349338495141895,NA,6.01172755976544,3.09517365809652,0.368516012629679,0.979251240414975
