"","cells","reward","cost","disturbance","dist_2075","LC","NT","VU","EN","CR"
"CAPTAIN (simple)",4827,6.02869135538737,0.150567283500059,0.530840382253153,0.557794099151535,NA,4.78993163455563,3.59643671017195,0.534493474207585,0.88957944893308
"CAPTAIN (future)",4827,5.98295704523722,0.147023434823513,0.517140094020279,0.547404709034188,NA,4.82991506111457,3.59643671017195,0.534493474207585,0.88957944893308
"CAPTAIN (future + multi time step)",4827,6.80521155993144,0.186299384443074,0.446805327173736,0.477587729201622,NA,5.88688626476071,3.29625025896001,0.3967267453905,0.97679718251502
"PrioritizR (gHM discount + cocoa penalty)",5401,NA,0.137552279845229,0.261877716608429,0.325653223547423,NA,4.88539159414926,2.59526013701166,0.451397889279768,0.837067209775968
