"scientific_name","genus","species","IUCN","population_trend"
"Petrochelidon spilodera","Petrochelidon","spilodera","LC","Increasing"
"Philepitta castanea","Philepitta","castanea","LC","Decreasing"
"Philepitta schlegeli","Philepitta","schlegeli","VU","Decreasing"
"Philetairus socius","Philetairus","socius","LC","Stable"
"Phoeniculus bollei","Phoeniculus","bollei","LC","Decreasing"
"Phoeniculus damarensis","Phoeniculus","damarensis","LC","Decreasing"
"Phoeniculus purpureus","Phoeniculus","purpureus","LC",NA
"Phoeniculus somaliensis","Phoeniculus","somaliensis","LC","Decreasing"
"Pholia sharpii","Pholia","sharpii","LC","Decreasing"
"Pholidornis rushiae","Pholidornis","rushiae","LC","Stable"
"Phragmacia substriata","Phragmacia","substriata","LC","Increasing"
"Phyllanthus atripennis","Phyllanthus","atripennis","VU","Decreasing"
"Phyllastrephus albigularis","Phyllastrephus","albigularis","LC","Decreasing"
"Phyllastrephus cerviniventris","Phyllastrephus","cerviniventris","LC","Stable"
"Phyllastrephus cinereiceps","Phyllastrephus","cinereiceps",NA,NA
"Phyllastrephus flavostriatus","Phyllastrephus","flavostriatus","LC","Decreasing"
"Phyllastrephus madagascariensis","Phyllastrephus","madagascariensis",NA,NA
"Phyllastrephus strepitans","Phyllastrephus","strepitans","LC","Decreasing"
"Phyllastrephus terrestris","Phyllastrephus","terrestris","LC","Decreasing"
"Phyllastrephus xavieri","Phyllastrephus","xavieri","LC","Stable"
"Phyllastrephus zosterops","Phyllastrephus","zosterops",NA,NA
"Phyllolais pulchella","Phyllolais","pulchella","LC","Stable"
"Phylloscopus budongoensis","Phylloscopus","budongoensis","LC","Decreasing"
"Phylloscopus herberti","Phylloscopus","herberti","LC","Decreasing"
"Phylloscopus ruficapilla","Phylloscopus","ruficapilla","LC","Decreasing"
"Pitta reichenowi","Pitta","reichenowi","LC","Decreasing"
"Platysteira laticincta","Platysteira","laticincta","VU","Decreasing"
"Plocepasser donaldsoni","Plocepasser","donaldsoni","LC","Stable"
"Plocepasser rufoscapulatus","Plocepasser","rufoscapulatus","LC","Stable"
"Ploceus albinucha","Ploceus","albinucha","LC","Stable"
"Ploceus alienus","Ploceus","alienus","LC","Decreasing"
"Ploceus bannermani","Ploceus","bannermani","VU","Decreasing"
"Ploceus batesi","Ploceus","batesi","EN","Decreasing"
"Ploceus bicolor","Ploceus","bicolor","LC","Stable"
"Ploceus capensis","Ploceus","capensis","LC","Stable"
"Ploceus castaneiceps","Ploceus","castaneiceps","LC","Stable"
"Ploceus castanops","Ploceus","castanops","LC","Stable"
"Ploceus cucullatus","Ploceus","cucullatus","LC","Stable"
"Ploceus galbula","Ploceus","galbula","LC","Stable"
"Ploceus heuglini","Ploceus","heuglini","LC","Stable"
"Ploceus intermedius","Ploceus","intermedius","LC","Stable"
"Ploceus jacksoni","Ploceus","jacksoni","LC","Stable"
"Ploceus melanocephalus","Ploceus","melanocephalus","LC","Stable"
"Ploceus melanogaster","Ploceus","melanogaster","LC","Decreasing"
"Ploceus nigerrimus","Ploceus","nigerrimus","LC","Stable"
"Ploceus nigricollis","Ploceus","nigricollis","LC","Stable"
"Ploceus rubiginosus","Ploceus","rubiginosus","LC","Stable"
"Ploceus ruweti","Ploceus","ruweti","LC","Stable"
"Ploceus sakalava","Ploceus","sakalava","LC","Stable"
"Ploceus spekei","Ploceus","spekei","LC","Stable"
"Ploceus spekeoides","Ploceus","spekeoides","NT","Decreasing"
"Ploceus subaureus","Ploceus","subaureus","LC","Stable"
"Ploceus subpersonatus","Ploceus","subpersonatus","VU","Decreasing"
"Ploceus superciliosus","Ploceus","superciliosus","LC","Stable"
"Ploceus vitellinus","Ploceus","vitellinus","LC","Stable"
"Ploceus weynsi","Ploceus","weynsi","LC","Decreasing"
"Ploceus xanthopterus","Ploceus","xanthopterus","LC","Decreasing"
"Poeoptera femoralis","Poeoptera","femoralis",NA,NA
"Poeoptera kenricki","Poeoptera","kenricki","LC","Decreasing"
"Poeoptera lugubris","Poeoptera","lugubris","LC","Decreasing"
"Poeoptera stuhlmanni","Poeoptera","stuhlmanni","LC","Decreasing"
"Pogoniulus leucomystax","Pogoniulus","leucomystax","LC",NA
"Pogoniulus scolopaceus","Pogoniulus","scolopaceus","LC","Decreasing"
"Pogoniulus subsulphureus","Pogoniulus","subsulphureus","LC","Decreasing"
"Poicephalus cryptoxanthus","Poicephalus","cryptoxanthus","LC","Decreasing"
"Poicephalus flavifrons","Poicephalus","flavifrons","LC","Decreasing"
"Poicephalus robustus","Poicephalus","robustus","VU","Stable"
"Poicephalus rueppellii","Poicephalus","rueppellii","LC","Decreasing"
"Polihierax semitorquatus","Polihierax","semitorquatus","LC","Stable"
"Poliolais lopezi","Poliolais","lopezi","LC","Decreasing"
"Polyboroides radiatus","Polyboroides","radiatus","LC","Decreasing"
"Polyboroides typus","Polyboroides","typus","LC","Decreasing"
"Prinia bairdii","Prinia","bairdii","LC","Decreasing"
"Prinia erythroptera","Prinia","erythroptera","LC","Stable"
"Prinia flavicans","Prinia","flavicans","LC","Stable"
"Prinia hypoxantha","Prinia","hypoxantha","LC","Decreasing"
"Prinia leontica","Prinia","leontica",NA,NA
"Prinia maculosa","Prinia","maculosa","LC","Decreasing"
"Prinia molleri","Prinia","molleri","LC","Increasing"
"Prinia somalica","Prinia","somalica","LC","Stable"
"Prinia subflava","Prinia","subflava","LC","Stable"
"Prionops alberti","Prionops","alberti","VU","Decreasing"
"Prionops plumatus","Prionops","plumatus","LC","Stable"
"Prionops poliolophus","Prionops","poliolophus","LC","Decreasing"
"Prionops retzii","Prionops","retzii","LC","Decreasing"
"Prodotiscus regulus","Prodotiscus","regulus","LC","Increasing"
"Prodotiscus zambesiae","Prodotiscus","zambesiae","LC","Stable"
"Promerops cafer","Promerops","cafer","LC","Stable"
"Promerops gurneyi","Promerops","gurneyi","NT","Decreasing"
"Psalidoprocne fuliginosa","Psalidoprocne","fuliginosa","LC","Stable"
"Psalidoprocne obscura","Psalidoprocne","obscura","LC","Stable"
"Psalidoprocne pristoptera","Psalidoprocne","pristoptera","LC","Decreasing"
"Pseudhirundo griseopyga","Pseudhirundo","griseopyga","LC","Stable"
"Pseudobias wardi","Pseudobias","wardi","NT","Decreasing"
"Pseudocalyptomena graueri","Pseudocalyptomena","graueri","VU","Decreasing"
"Pseudonigrita arnaudi","Pseudonigrita","arnaudi","LC","Stable"
"Pseudonigrita cabanisi","Pseudonigrita","cabanisi","LC","Stable"
"Psittacula krameri","Psittacula","krameri",NA,NA
"Psophocichla litsitsirupa","Psophocichla","litsitsirupa","LC","Unknown"
"Pternistis adspersus","Pternistis","adspersus","LC","Stable"
"Pternistis capensis","Pternistis","capensis","LC","Stable"
"Pternistis clappertoni","Pternistis","clappertoni","LC","Decreasing"
"Pternistis griseostriatus","Pternistis","griseostriatus","LC","Decreasing"
"Pternistis hartlaubi","Pternistis","hartlaubi","LC","Stable"
"Pternistis harwoodi","Pternistis","harwoodi","NT","Decreasing"
"Pternistis hildebrandti","Pternistis","hildebrandti","LC","Stable"
"Pternistis jacksoni","Pternistis","jacksoni","LC","Decreasing"
"Pternistis leucoscepus","Pternistis","leucoscepus","LC","Decreasing"
"Pternistis natalensis","Pternistis","natalensis","LC","Stable"
"Pternistis rufopictus","Pternistis","rufopictus","LC","Decreasing"
"Pterocles bicinctus","Pterocles","bicinctus","LC","Decreasing"
"Pterocles burchelli","Pterocles","burchelli","LC","Stable"
"Pterocles decoratus","Pterocles","decoratus","LC","Stable"
"Pterocles exustus","Pterocles","exustus","LC","Stable"
"Pterocles lichtensteinii","Pterocles","lichtensteinii","LC","Stable"
"Pterocles quadricinctus","Pterocles","quadricinctus","LC","Stable"
"Pterocles senegallus","Pterocles","senegallus","LC","Stable"
"Pteronetta hartlaubii","Pteronetta","hartlaubii","LC","Decreasing"
"Ptilopachus petrosus","Ptilopachus","petrosus","LC","Stable"
"Pycnonotus barbatus","Pycnonotus","barbatus","LC",NA
"Pycnonotus capensis","Pycnonotus","capensis",NA,NA
"Pycnonotus nigricans","Pycnonotus","nigricans","LC","Increasing"
"Pyrenestes ostrinus","Pyrenestes","ostrinus","LC","Stable"
"Pyrenestes sanguineus","Pyrenestes","sanguineus","LC","Stable"
"Pytilia hypogrammica","Pytilia","hypogrammica","LC","Stable"
"Pytilia lineata","Pytilia","lineata","LC","Stable"
"Pytilia melba","Pytilia","melba","LC","Stable"
"Quelea cardinalis","Quelea","cardinalis","LC","Stable"
"Rallus caerulescens","Rallus","caerulescens","LC","Unknown"
"Rallus madagascariensis","Rallus","madagascariensis","VU","Decreasing"
"Randia pseudozosterops","Randia","pseudozosterops","NT","Decreasing"
"Rhaphidura sabini","Rhaphidura","sabini","LC","Decreasing"
"Rhinopomastus aterrimus","Rhinopomastus","aterrimus","LC","Decreasing"
"Rhinoptilus cinctus","Rhinoptilus","cinctus","LC","Unknown"
"Rhodophoneus cruentus","Rhodophoneus","cruentus","LC","Stable"
"Riparia paludicola","Riparia","paludicola","LC","Decreasing"
"Rougetius rougetii","Rougetius","rougetii","NT","Decreasing"
"Salpornis salvadori","Salpornis","salvadori","LC","Decreasing"
"Sarkidiornis melanotos","Sarkidiornis","melanotos","LC","Decreasing"
"Sarothrura affinis","Sarothrura","affinis","LC","Decreasing"
"Sarothrura pulchra","Sarothrura","pulchra","LC","Decreasing"
"Sarothrura rufa","Sarothrura","rufa","LC","Decreasing"
"Saxicola torquatus","Saxicola","torquatus","LC","Stable"
"Scepomycter winifredae","Scepomycter","winifredae","NT","Decreasing"
"Schetba rufa","Schetba","rufa","NT","Decreasing"
"Schistolais leucopogon","Schistolais","leucopogon","LC","Decreasing"
"Scleroptila afra","Scleroptila","afra","LC","Stable"
"Scleroptila finschi","Scleroptila","finschi","LC","Decreasing"
"Scleroptila gutturalis","Scleroptila","gutturalis","LC","Stable"
"Scleroptila levaillantii","Scleroptila","levaillantii","LC","Stable"
"Scleroptila shelleyi","Scleroptila","shelleyi","LC","Decreasing"
"Scopus umbretta","Scopus","umbretta","LC","Unknown"
"Scotopelia bouvieri","Scotopelia","bouvieri","LC","Decreasing"
"Scotopelia ussheri","Scotopelia","ussheri","VU","Decreasing"
"Serinus leucopterus","Serinus","leucopterus",NA,NA
"Serinus nigriceps","Serinus","nigriceps","LC","Stable"
"Sheppardia cyornithopsis","Sheppardia","cyornithopsis","LC","Decreasing"
"Sheppardia montana","Sheppardia","montana","EN","Decreasing"
"Smithornis sharpei","Smithornis","sharpei","LC","Decreasing"
"Smutsornis africanus","Smutsornis","africanus","LC","Stable"
"Speculipastor bicolor","Speculipastor","bicolor","LC","Unknown"
"Spermestes fringilloides","Spermestes","fringilloides","LC","Stable"
"Spermophaga poliogenys","Spermophaga","poliogenys","LC","Stable"
"Spermophaga ruficapilla","Spermophaga","ruficapilla","LC","Decreasing"
"Spilopelia senegalensis","Spilopelia","senegalensis","LC","Stable"
"Spizocorys fremantlii","Spizocorys","fremantlii","LC","Stable"
"Spizocorys fringillaris","Spizocorys","fringillaris","EN","Decreasing"
"Spizocorys sclateri","Spizocorys","sclateri","NT","Unknown"
"Spizocorys starki","Spizocorys","starki","LC","Stable"
"Sporopipes frontalis","Sporopipes","frontalis","LC","Stable"
"Sporopipes squamifrons","Sporopipes","squamifrons","LC","Stable"
"Stactolaema anchietae","Stactolaema","anchietae","LC","Stable"
"Stactolaema leucotis","Stactolaema","leucotis","LC","Decreasing"
"Stactolaema whytii","Stactolaema","whytii","LC","Decreasing"
"Stenostira scita","Stenostira","scita","LC","Stable"
"Stephanoaetus coronatus","Stephanoaetus","coronatus","NT","Decreasing"
"Streptopelia decipiens","Streptopelia","decipiens","LC","Stable"
"Streptopelia hypopyrrha","Streptopelia","hypopyrrha","LC","Stable"
"Streptopelia lugens","Streptopelia","lugens","LC","Decreasing"
"Streptopelia roseogrisea","Streptopelia","roseogrisea","LC","Stable"
"Streptopelia semitorquata","Streptopelia","semitorquata","LC","Decreasing"
"Streptopelia vinacea","Streptopelia","vinacea","LC","Stable"
"Struthio camelus","Struthio","camelus","LC","Decreasing"
"Struthio molybdophanes","Struthio","molybdophanes","VU","Decreasing"
"Swynnertonia swynnertoni","Swynnertonia","swynnertoni","NT","Decreasing"
"Sylvia abyssinica","Sylvia","abyssinica","LC","Decreasing"
"Sylvia boehmi","Sylvia","boehmi",NA,NA
"Sylvia buryi","Sylvia","buryi",NA,NA
"Sylvia dohrni","Sylvia","dohrni","LC","Stable"
"Sylvietta denti","Sylvietta","denti","LC","Stable"
"Sylvietta leucophrys","Sylvietta","leucophrys","LC","Decreasing"
"Sylvietta rufescens","Sylvietta","rufescens","LC","Stable"
"Sylvietta ruficapilla","Sylvietta","ruficapilla","LC","Stable"
"Synoicus adansonii","Synoicus","adansonii","LC","Stable"
"Tachymarptis melba","Tachymarptis","melba","LC","Unknown"
"Tauraco hartlaubi","Tauraco","hartlaubi","LC","Decreasing"
"Tauraco leucotis","Tauraco","leucotis","LC","Decreasing"
"Tauraco macrorhynchus","Tauraco","macrorhynchus","LC","Decreasing"
"Tauraco ruspolii","Tauraco","ruspolii","NT","Decreasing"
"Tchagra tchagra","Tchagra","tchagra","LC","Increasing"
"Telophorus viridis","Telophorus","viridis","LC","Stable"
"Telophorus zeylonus","Telophorus","zeylonus","LC","Stable"
"Terathopius ecaudatus","Terathopius","ecaudatus","EN","Decreasing"
"Terpsiphone batesi","Terpsiphone","batesi","LC","Decreasing"
"Terpsiphone rufiventer","Terpsiphone","rufiventer","LC","Decreasing"
"Thalassornis leuconotus","Thalassornis","leuconotus","LC","Decreasing"
"Tockus deckeni","Tockus","deckeni","LC","Decreasing"
"Tockus jacksoni","Tockus","jacksoni","LC","Decreasing"
"Tockus leucomelas","Tockus","leucomelas","LC","Decreasing"
"Tockus monteiri","Tockus","monteiri","LC","Stable"
"Trachyphonus darnaudii","Trachyphonus","darnaudii","LC","Stable"
"Trachyphonus vaillantii","Trachyphonus","vaillantii","LC","Decreasing"
"Treron australis","Treron","australis","LC","Decreasing"
"Treron waalia","Treron","waalia","LC","Decreasing"
"Tricholaema diademata","Tricholaema","diademata","LC","Stable"
"Tricholaema frontata","Tricholaema","frontata","LC","Decreasing"
"Tricholaema hirsuta","Tricholaema","hirsuta","LC","Decreasing"
"Tricholaema lacrymosa","Tricholaema","lacrymosa","LC","Stable"
"Tricholaema leucomelas","Tricholaema","leucomelas","LC","Increasing"
"Turdoides hindei","Turdoides","hindei","NT","Decreasing"
"Turdoides leucocephala","Turdoides","leucocephala","LC","Stable"
"Turdus abyssinicus","Turdus","abyssinicus","LC","Unknown"
"Turdus helleri","Turdus","helleri","EN","Decreasing"
"Turdus menachensis","Turdus","menachensis","NT","Decreasing"
"Turdus pelios","Turdus","pelios","LC","Unknown"
"Turdus roehli","Turdus","roehli","NT","Decreasing"
"Turdus tephronotus","Turdus","tephronotus","LC","Unknown"
"Turnix nanus","Turnix","nanus","LC","Decreasing"
"Turnix sylvaticus","Turnix","sylvaticus","LC","Unknown"
"Turtur abyssinicus","Turtur","abyssinicus","LC","Decreasing"
"Turtur brehmeri","Turtur","brehmeri",NA,NA
"Turtur chalcospilos","Turtur","chalcospilos","LC","Decreasing"
"Tylas eduardi","Tylas","eduardi","NT","Decreasing"
"Tyto alba","Tyto","alba","LC","Unknown"
"Tyto soumagnei","Tyto","soumagnei","VU","Decreasing"
"Upupa epops","Upupa","epops","LC","Decreasing"
"Uraeginthus angolensis","Uraeginthus","angolensis","LC","Stable"
"Uraeginthus bengalus","Uraeginthus","bengalus","LC","Stable"
"Uraeginthus cyanocephalus","Uraeginthus","cyanocephalus","LC","Stable"
"Urocolius indicus","Urocolius","indicus","LC","Unknown"
"Urotriorchis macrourus","Urotriorchis","macrourus","LC","Decreasing"
"Vanellus coronatus","Vanellus","coronatus","LC","Decreasing"
"Vanellus melanocephalus","Vanellus","melanocephalus","LC","Unknown"
"Veles binotatus","Veles","binotatus","LC","Decreasing"
"Vidua chalybeata","Vidua","chalybeata","LC","Stable"
"Vidua codringtoni","Vidua","codringtoni","LC","Stable"
"Vidua fischeri","Vidua","fischeri","LC","Stable"
"Vidua larvaticola","Vidua","larvaticola","LC","Stable"
"Vidua obtusa","Vidua","obtusa","LC","Stable"
"Vidua orientalis","Vidua","orientalis","LC","Stable"
"Vidua paradisaea","Vidua","paradisaea","LC","Stable"
"Vidua purpurascens","Vidua","purpurascens","LC","Stable"
"Vidua regia","Vidua","regia","LC","Stable"
"Xanthomixis apperti","Xanthomixis","apperti","VU","Decreasing"
"Xanthomixis zosterops","Xanthomixis","zosterops","NT","Decreasing"
"Xenopirostris damii","Xenopirostris","damii","VU","Decreasing"
"Zavattariornis stresemanni","Zavattariornis","stresemanni","EN","Decreasing"
"Zoonavena grandidieri","Zoonavena","grandidieri","LC","Decreasing"
"Zoonavena thomensis","Zoonavena","thomensis","LC","Stable"
"Zoothera oberlaenderi","Zoothera","oberlaenderi",NA,NA
"Zosterops abyssinicus","Zosterops","abyssinicus","LC","Decreasing"
"Zosterops lugubris","Zosterops","lugubris","LC","Unknown"
"Zosterops pallidus","Zosterops","pallidus","LC","Stable"
"Zosterops senegalensis","Zosterops","senegalensis","LC","Stable"
"Zosterops vaughani","Zosterops","vaughani","LC","Stable"
"Zosterops virens","Zosterops","virens","LC","Decreasing"
