BINOMIAL,AOH_name,is.migratory,excluded,Order_,F2019_Iucn_Red_List_Category,Model_prevalence,Point_prevalence,Number_of_Validation_Points,Point_validation
Acanthis flammea,Acanthis_flammea,yes,no,PASSERIFORMES,LC,0.526047796130413,0.93543956043956,5096,Yes
Accipiter badius,Accipiter_badius,yes,no,ACCIPITRIFORMES,LC,0.980994739521785,0,0,No
Accipiter striatus,Accipiter_striatus,yes,no,ACCIPITRIFORMES,LC,0.189485374287024,0.120216216216216,9250,Yes
Acrocephalus palustris,Acrocephalus_palustris,yes,no,PASSERIFORMES,LC,0.816008374677706,1,152,Yes
Acrocephalus scirpaceus,Acrocephalus_scirpaceus,yes,no,PASSERIFORMES,LC,0.575931451364482,0.888661899897855,979,Yes
Acrocephalus stentoreus,Acrocephalus_stentoreus,yes,no,PASSERIFORMES,LC,0.955190110550158,0.950138504155125,361,Yes
Aechmophorus occidentalis,Aechmophorus_occidentalis,yes,no,PODICIPEDIFORMES,LC,0.0763158002970357,0.292338709677419,2976,Yes
Alaudala rufescens,Alaudala_rufescens,yes,no,PASSERIFORMES,LC,0.802809295619891,0.942857142857143,70,Yes
Alectoris chukar,Alectoris_chukar,no,no,GALLIFORMES,LC,0.85956918764273,0.946360153256705,261,Yes
Amazilia castaneiventris,Amazilia_castaneiventris,no,no,CAPRIMULGIFORMES,EN,0.50275734207259,0,0,No
Amazona aestiva,Amazona_aestiva,no,no,PSITTACIFORMES,LC,0.655146451076576,0.924731182795699,279,Yes
Ammomanes cinctura,Ammomanes_cinctura,no,no,PASSERIFORMES,LC,0.93408095570473,1,37,Yes
Anas acuta,Anas_acuta,yes,no,ANSERIFORMES,LC,0.203737115710812,0.848557692307692,6240,Yes
Anas crecca,Anas_crecca,yes,no,ANSERIFORMES,LC,0.220970671573396,0.813346386033611,12258,Yes
Anas platyrhynchos,Anas_platyrhynchos,yes,no,ANSERIFORMES,LC,0.203772829659182,0,0,No
Anodorhynchus glaucus,Anodorhynchus_glaucus,no,no,PSITTACIFORMES,CR,0.302216819425989,0,0,No
Anodorhynchus leari,Anodorhynchus_leari,no,no,PSITTACIFORMES,EN,0.651578876364202,0,0,No
Anthocephala berlepschi,Anthocephala_berlepschi,no,no,CAPRIMULGIFORMES,VU,0.731897948085802,0,0,No
Anthocephala floriceps,Anthocephala_floriceps,no,no,CAPRIMULGIFORMES,VU,0.777431813436441,0,0,No
Anthropoides paradiseus,Anthropoides_paradiseus,no,no,GRUIFORMES,VU,0.909526365619612,1,47,Yes
Anthus cervinus,Anthus_cervinus,yes,no,PASSERIFORMES,LC,0.33852593792033,0.90625,128,Yes
Anthus richardi,Anthus_richardi,yes,no,PASSERIFORMES,LC,0.352258639414527,0.971153846153846,104,Yes
Anthus rubescens,Anthus_rubescens,yes,no,PASSERIFORMES,LC,0.344709331715353,0.887417218543046,2265,Yes
Anthus similis,Anthus_similis,yes,no,PASSERIFORMES,LC,0.875736823880278,1,57,Yes
Apteryx australis,Apteryx_australis,no,no,STRUTHIONIFORMES,VU,0.962803999014272,1,18,Yes
Apus pacificus,Apus_pacificus,yes,no,CAPRIMULGIFORMES,LC,0.464021098407622,0.917378917378917,351,Yes
Apus pallidus,Apus_pallidus,yes,no,CAPRIMULGIFORMES,LC,0.897255639821369,0.965460526315789,608,Yes
Aquila fasciata,Aquila_fasciata,yes,no,ACCIPITRIFORMES,LC,0.923762185385797,0.990291262135922,309,Yes
Aquila heliaca,Aquila_heliaca,yes,no,ACCIPITRIFORMES,VU,0.850954439144494,0.974683544303797,79,Yes
Aquila nipalensis,Aquila_nipalensis,yes,no,ACCIPITRIFORMES,EN,0.726104053150568,0.916256157635468,203,Yes
Aramides albiventris,Aramides_albiventris,no,no,GRUIFORMES,LC,0.965356307693033,1,251,Yes
Aramides cajaneus,Aramides_cajaneus,no,no,GRUIFORMES,LC,0.746487339258981,0.903225806451613,31,Yes
Ardea alba,Ardea_alba,yes,no,PELECANIFORMES,LC,0.363061905994186,0.886613215792074,26317,Yes
Ardea cinerea,Ardea_cinerea,yes,no,PELECANIFORMES,LC,0.789081560170182,0.985054765073191,9769,Yes
Ardea purpurea,Ardea_purpurea,yes,no,PELECANIFORMES,LC,0.773744273512328,0.96934082779765,1957,Yes
Ardenna carneipes,Ardenna_carneipes,yes,no,PROCELLARIIFORMES,NT,0.922281134381455,0.91304347826087,23,Yes
Ardenna grisea,Ardenna_grisea,yes,no,PROCELLARIIFORMES,NT,0.340013700212618,0.588235294117647,119,Yes
Arenaria interpres,Arenaria_interpres,yes,no,CHARADRIIFORMES,LC,0.19925309240945,0.785211267605634,2272,Yes
Arremon dorbignii,Arremon_dorbignii,no,no,PASSERIFORMES,LC,0.841167948234188,0,0,No
Arremon flavirostris,Arremon_flavirostris,no,no,PASSERIFORMES,LC,0.523899714155495,1,53,Yes
Athene noctua,Athene_noctua,no,no,STRIGIFORMES,LC,0.8490375884455,0.980970504281637,1051,Yes
Augastes lumachella,Augastes_lumachella,no,no,CAPRIMULGIFORMES,NT,0.34893447053444,0,0,No
Aulacorhynchus huallagae,Aulacorhynchus_huallagae,no,no,PICIFORMES,EN,0.271978662077064,0,0,No
Aythya baeri,Aythya_baeri,yes,no,ANSERIFORMES,CR,0.261104132742319,0,0,No
Aythya ferina,Aythya_ferina,yes,no,ANSERIFORMES,VU,0.255958363650389,0.932054794520548,1825,Yes
Aythya nyroca,Aythya_nyroca,yes,no,ANSERIFORMES,NT,0.213804192677086,0.882911392405063,316,Yes
Bolemoreus hindwoodi,Bolemoreus_hindwoodi,yes,no,PASSERIFORMES,LC,0.897374252822574,0,0,No
Brachyramphus marmoratus,Brachyramphus_marmoratus,yes,no,CHARADRIIFORMES,EN,0.623603600546385,0,0,No
Bubo africanus,Bubo_africanus,no,no,STRIGIFORMES,LC,0.981027448423495,0.984375,64,Yes
Bubo ascalaphus,Bubo_ascalaphus,no,no,STRIGIFORMES,LC,0.937697039954315,1,11,Yes
Bubulcus ibis,Bubulcus_ibis,yes,no,PELECANIFORMES,LC,0.715879655069836,0.85974723185326,17870,Yes
Bucanetes githagineus,Bucanetes_githagineus,yes,no,PASSERIFORMES,LC,0.931438681964831,0.974358974358974,78,Yes
Buteo rufinus,Buteo_rufinus,yes,no,ACCIPITRIFORMES,LC,0.950976228762075,0.946153846153846,390,Yes
Calidris alpina,Calidris_alpina,yes,no,CHARADRIIFORMES,LC,0.219092894706768,0.676050906286155,2593,Yes
Calidris falcinellus,Calidris_falcinellus,yes,no,CHARADRIIFORMES,LC,0.00684873642525281,0.0256410256410256,78,Yes
Calidris tenuirostris,Calidris_tenuirostris,yes,no,CHARADRIIFORMES,EN,0.143310625028478,0,70,Yes
Callaeas cinereus,Callaeas_cinereus,no,no,PASSERIFORMES,CR (PE),0.242977849431373,0,0,No
Calliope pectardens,Calliope_pectardens,yes,no,PASSERIFORMES,NT,0.0855432744137728,0,0,No
Campylopterus largipennis,Campylopterus_largipennis,no,no,CAPRIMULGIFORMES,LC,0.853643800483062,0.970588235294118,68,Yes
Caprimulgus aegyptius,Caprimulgus_aegyptius,yes,no,CAPRIMULGIFORMES,LC,0.78340039580401,0,0,No
Catharus dryas,Catharus_dryas,no,no,PASSERIFORMES,LC,0.799467782052351,1,14,Yes
Catharus maculatus,Catharus_maculatus,no,no,PASSERIFORMES,LC,0.653117028763515,0,0,No
Celeus undatus,Celeus_undatus,no,no,PICIFORMES,LC,0.903307382609459,1,16,Yes
Cercotrichas galactotes,Cercotrichas_galactotes,yes,no,PASSERIFORMES,LC,0.789681421605029,0.80952380952381,42,Yes
Charadrius alexandrinus,Charadrius_alexandrinus,yes,no,CHARADRIIFORMES,LC,0.724948409899078,0.974968710888611,790,Yes
Charadrius dubius,Charadrius_dubius,yes,no,CHARADRIIFORMES,LC,0.665599202502026,0.962715105162524,2092,Yes
Charadrius hiaticula,Charadrius_hiaticula,yes,no,CHARADRIIFORMES,LC,0.240261135831916,0.929621848739496,952,Yes
Charadrius leschenaultii,Charadrius_leschenaultii,yes,no,CHARADRIIFORMES,LC,0.745011829572356,0.962616822429907,214,Yes
Charmosyna diadema,Charmosyna_diadema,no,no,PSITTACIFORMES,CR,0.999825739894885,0,0,No
Chlamydotis macqueenii,Chlamydotis_macqueenii,yes,no,OTIDIFORMES,VU,0.380024361545458,0.8,10,Yes
Chlidonias niger,Chlidonias_niger,yes,no,CHARADRIIFORMES,LC,0.270510503978718,0,0,No
Cinnyris asiaticus,Cinnyris_asiaticus,no,no,PASSERIFORMES,LC,0.964407528125502,1,3342,Yes
Circus aeruginosus,Circus_aeruginosus,yes,no,ACCIPITRIFORMES,LC,0.25972329894204,0.925668979187314,3027,Yes
Clytorhynchus hamlini,Clytorhynchus_hamlini,no,no,PASSERIFORMES,LC,0.986981519904647,0,0,No
Colaptes atricollis,Colaptes_atricollis,no,no,PICIFORMES,LC,0.424100457631966,0.906976744186046,43,Yes
Columba argentina,Columba_argentina,no,no,COLUMBIFORMES,CR,0.576146463667739,0,0,No
Columba livia,Columba_livia,no,no,COLUMBIFORMES,LC,0.621923644421296,0.838088854844887,10444,Yes
Columbina cyanopis,Columbina_cyanopis,no,no,COLUMBIFORMES,CR,0.324491825076603,0,0,No
Coracias garrulus,Coracias_garrulus,yes,no,CORACIIFORMES,LC,0.828107975815612,0.920168067226891,238,Yes
Cotinga maculata,Cotinga_maculata,no,no,PASSERIFORMES,EN,0.443231459319904,0,0,No
Cranioleuca henricae,Cranioleuca_henricae,no,no,PASSERIFORMES,EN,0.426170634344257,0,0,No
Cuculus canorus,Cuculus_canorus,yes,no,CUCULIFORMES,LC,0.869484928381572,0,0,No
Cuculus saturatus,Cuculus_saturatus,yes,no,CUCULIFORMES,LC,0.681789883829113,0,0,No
Cursorius cursor,Cursorius_cursor,yes,no,CHARADRIIFORMES,LC,0.77429271045268,0,0,No
Cyanecula svecica,Cyanecula_svecica,yes,no,PASSERIFORMES,LC,0.8169121397435,0,0,No
Cypsiurus gracilis,Cypsiurus_gracilis,no,no,CAPRIMULGIFORMES,LC,0.559681443693469,0,0,No
Cypsiurus parvus,Cypsiurus_parvus,no,no,CAPRIMULGIFORMES,LC,0.706780353996398,0.955789473684211,475,Yes
Dessonornis caffer,Dessonornis_caffer,yes,no,PASSERIFORMES,LC,0.992585011651333,0,0,No
Diglossa gloriosissima,Diglossa_gloriosissima,no,no,PASSERIFORMES,EN,0.368012619742617,0,0,No
Diglossa venezuelensis,Diglossa_venezuelensis,no,no,PASSERIFORMES,EN,0.867510380030192,0,0,No
Drymophila genei,Drymophila_genei,no,no,PASSERIFORMES,LC,0.755927737050886,1,13,Yes
Eclectus cornelia,Eclectus_cornelia,no,no,PSITTACIFORMES,EN,0.611247066192248,0,0,No
Eclectus polychloros,Eclectus_polychloros,no,no,PSITTACIFORMES,LC,0.935545381826359,0,0,No
Eclectus riedeli,Eclectus_riedeli,no,no,PSITTACIFORMES,VU,0.996193336337373,0,0,No
Eclectus roratus,Eclectus_roratus,no,no,PSITTACIFORMES,LC,0.99306017289445,0,0,No
Egretta picata,Egretta_picata,yes,no,PELECANIFORMES,LC,0.651419737044269,0.971428571428571,70,Yes
Elaenia albiceps,Elaenia_albiceps,yes,no,PASSERIFORMES,LC,0.704191113344993,0.96962879640045,889,Yes
Elanus caeruleus,Elanus_caeruleus,yes,no,ACCIPITRIFORMES,LC,0.708596619083273,0.962491153573956,1413,Yes
Eleothreptus candicans,Eleothreptus_candicans,no,no,CAPRIMULGIFORMES,EN,0.660081943716718,0,0,No
Emberiza caesia,Emberiza_caesia,yes,no,PASSERIFORMES,LC,0.760777277106904,0.945945945945946,37,Yes
Emberiza calandra,Emberiza_calandra,yes,no,PASSERIFORMES,LC,0.52871641340834,0.905736434108527,3225,Yes
Emberiza cineracea,Emberiza_cineracea,yes,no,PASSERIFORMES,NT,0.753967810235392,0,0,No
Emberiza pallasi,Emberiza_pallasi,yes,no,PASSERIFORMES,LC,0.426136306891966,0.933333333333333,15,Yes
Emberiza schoeniclus,Emberiza_schoeniclus,yes,no,PASSERIFORMES,LC,0.176900398705316,0.869832402234637,1790,Yes
Emberiza siemsseni,Emberiza_siemsseni,yes,no,PASSERIFORMES,LC,0.0042254576187427,0,0,No
Empidonax difficilis,Empidonax_difficilis,yes,no,PASSERIFORMES,LC,0.11095776854841,0.0111642743221691,2508,Yes
Empidonax occidentalis,Empidonax_occidentalis,yes,no,PASSERIFORMES,LC,0.429606039085439,0.94954128440367,654,Yes
Eremomela turneri,Eremomela_turneri,no,no,PASSERIFORMES,EN,0.79298607707425,0,0,No
Eremophila alpestris,Eremophila_alpestris,yes,no,PASSERIFORMES,LC,0.625999571713942,0.975922953451043,10591,Yes
Falco concolor,Falco_concolor,yes,no,FALCONIFORMES,VU,0.632893269907426,0,0,No
Falco eleonorae,Falco_eleonorae,yes,no,FALCONIFORMES,LC,0.93983936031924,0.982142857142857,56,Yes
Falco peregrinus,Falco_peregrinus,yes,no,FALCONIFORMES,LC,0.946864081449638,0.991034070531978,6692,Yes
Ficedula albicollis,Ficedula_albicollis,yes,no,PASSERIFORMES,LC,0.831845408696512,0.947368421052632,38,Yes
Ficedula ruficauda,Ficedula_ruficauda,yes,no,PASSERIFORMES,LC,0.340000869934377,1,48,Yes
Formicivora acutirostris,Formicivora_acutirostris,no,no,PASSERIFORMES,EN,0.110852276537157,0,0,No
Fringilla coelebs,Fringilla_coelebs,yes,no,PASSERIFORMES,LC,0.701972816470658,0.980774138664398,11755,Yes
Fulica atra,Fulica_atra,yes,no,GRUIFORMES,LC,0.450058584069053,0.946510957324106,6898,Yes
Galerida cristata,Galerida_cristata,yes,no,PASSERIFORMES,LC,0.889371709014471,0.978150812683187,3753,Yes
Gallinago gallinago,Gallinago_gallinago,yes,no,CHARADRIIFORMES,LC,0.507332527208333,0.932579185520362,2210,Yes
Gallinula chloropus,Gallinula_chloropus,yes,no,GRUIFORMES,LC,0.269814076792469,0.862138410838521,5462,Yes
Gelochelidon nilotica,Gelochelidon_nilotica,yes,no,CHARADRIIFORMES,LC,0.0928335164823954,0,0,No
Geophaps plumifera,Geophaps_plumifera,no,no,COLUMBIFORMES,LC,0.682961892814363,0.982456140350877,57,Yes
Glaucidium mooreorum,Glaucidium_mooreorum,no,no,STRIGIFORMES,CR,0.895197078376741,0,0,No
Grus americana,Grus_americana,yes,no,GRUIFORMES,EN,0.369689036408464,0.636363636363636,11,Yes
Gymnoris xanthocollis,Gymnoris_xanthocollis,yes,no,PASSERIFORMES,LC,0.844184593677051,0.955026455026455,378,Yes
Haematopus ostralegus,Haematopus_ostralegus,yes,no,CHARADRIIFORMES,NT,0.227901089653987,0.818881477680862,1949,Yes
Haematopus finschi,Haematopus_finschi,yes,no,CHARADRIIFORMES,LC,0.277538466179644,0.554313099041534,626,Yes
Harpagus diodon,Harpagus_diodon,yes,no,ACCIPITRIFORMES,LC,0.642861819953246,0.961538461538462,26,Yes
Hemimacronyx chloris,Hemimacronyx_chloris,no,no,PASSERIFORMES,VU,0.626427675110239,0,0,No
Hemitriccus cinnamomeipectus,Hemitriccus_cinnamomeipectus,no,no,PASSERIFORMES,VU,0.324723112197551,0,0,No
Himantopus himantopus,Himantopus_himantopus,yes,no,CHARADRIIFORMES,LC,0.38630050890353,0.956400999722299,3601,Yes
Hirundapus caudacutus,Hirundapus_caudacutus,yes,no,CAPRIMULGIFORMES,LC,0.753017991477213,0.949579831932773,357,Yes
Hirundo atrocaerulea,Hirundo_atrocaerulea,yes,no,PASSERIFORMES,VU,0.613685393442493,0,0,No
Hirundo rustica,Hirundo_rustica,yes,no,PASSERIFORMES,LC,0.478048835175925,0.919001570377717,48396,Yes
Horornis canturians,Horornis_canturians,yes,no,PASSERIFORMES,LC,0.969455239007806,0.984375,64,Yes
Hydrobates hornbyi,Hydrobates_hornbyi,yes,no,PROCELLARIIFORMES,DD,0.357603881425244,0,0,No
Hydroprogne caspia,Hydroprogne_caspia,yes,no,CHARADRIIFORMES,LC,0.200919945308766,0,0,No
Hydrornis gurneyi,Hydrornis_gurneyi,no,no,PASSERIFORMES,EN,0.821106482728293,0,0,No
Hypocolius ampelinus,Hypocolius_ampelinus,yes,no,PASSERIFORMES,LC,0.858485761411129,0,0,No
Hypotaenidia tertia,Hypotaenidia_tertia,no,no,GRUIFORMES,NT,0.982608937253052,0,0,No
Icterus fuertesi,Icterus_fuertesi,yes,no,PASSERIFORMES,LC,0.523749818246744,0,0,No
Icterus parisorum,Icterus_parisorum,yes,no,PASSERIFORMES,LC,0.570457683990785,0.89,400,Yes
Iduna opaca,Iduna_opaca,yes,no,PASSERIFORMES,LC,0.483585198385005,0.865671641791045,67,Yes
Iduna pallida,Iduna_pallida,yes,no,PASSERIFORMES,LC,0.604311543784333,0.909547738693467,199,Yes
Incaspiza watkinsi,Incaspiza_watkinsi,no,no,PASSERIFORMES,NT,0.042356615504672,0,0,No
Ixobrychus minutus,Ixobrychus_minutus,yes,no,PELECANIFORMES,LC,0.710536191149046,0.974489795918367,196,Yes
Lanius excubitor,Lanius_excubitor,yes,no,PASSERIFORMES,LC,0.976087818143998,0.971235194585448,591,Yes
Lanius nubicus,Lanius_nubicus,yes,no,PASSERIFORMES,LC,0.55213882970884,0.959459459459459,74,Yes
Larus armenicus,Larus_armenicus,yes,no,CHARADRIIFORMES,NT,0.317798843473333,0,0,No
Larus canus,Larus_canus,yes,no,CHARADRIIFORMES,LC,0.324792148215587,0,0,No
Larus fuscus,Larus_fuscus,yes,no,CHARADRIIFORMES,LC,0.368230423756019,0,0,No
Larus genei,Larus_genei,yes,no,CHARADRIIFORMES,LC,0.543061241621263,0,0,No
Larus melanocephalus,Larus_melanocephalus,yes,no,CHARADRIIFORMES,LC,0.546682741044829,0,0,No
Larus michahellis,Larus_michahellis,yes,no,CHARADRIIFORMES,LC,0.357571274839702,0,0,No
Larus smithsonianus,Larus_smithsonianus,yes,no,CHARADRIIFORMES,LC,0.164627140074872,0,0,No
Larvivora brunnea,Larvivora_brunnea,yes,no,PASSERIFORMES,LC,0.54008136586178,0.98876404494382,89,Yes
Laterallus jamaicensis,Laterallus_jamaicensis,yes,no,GRUIFORMES,NT,0.167209863104267,0,0,No
Leiothlypis crissalis,Leiothlypis_crissalis,yes,no,PASSERIFORMES,LC,0.208712945228333,0,0,No
Leistes defilippii,Leistes_defilippii,yes,no,PASSERIFORMES,VU,0.938342889761319,0,0,No
Lullula arborea,Lullula_arborea,yes,no,PASSERIFORMES,LC,0.940859191639428,0.99131190269331,1151,Yes
Machaeropterus eckelberryi,Machaeropterus_eckelberryi,no,no,PASSERIFORMES,LC,0.941037033508065,0,0,No
Macropygia macassariensis,Macropygia_macassariensis,no,no,COLUMBIFORMES,LC,0.913786245489527,0,0,No
Macropygia magna,Macropygia_magna,no,no,COLUMBIFORMES,LC,0.776732479651139,0,0,No
Macropygia timorlaoensis,Macropygia_timorlaoensis,no,no,COLUMBIFORMES,LC,0.939898996440557,0,0,No
Malaconotus monteiri,Malaconotus_monteiri,no,no,PASSERIFORMES,NT,0.755147954067344,0,0,No
Malurus assimilis,Malurus_assimilis,no,no,PASSERIFORMES,LC,0.2347465949468,0.595744680851064,141,Yes
Malurus lamberti,Malurus_lamberti,no,no,PASSERIFORMES,LC,0.00272930679282639,0.0584415584415584,154,Yes
Margarornis bellulus,Margarornis_bellulus,no,no,PASSERIFORMES,NT,0.24049651120979,0,0,No
Megascops asio,Megascops_asio,no,no,STRIGIFORMES,LC,0.474505873446761,0.965666474321985,3466,Yes
Megascops cooperi,Megascops_cooperi,no,no,STRIGIFORMES,LC,0.414368199673559,0.928571428571429,70,Yes
Megascops gilesi,Megascops_gilesi,no,no,STRIGIFORMES,VU,0.705499638012154,0,0,No
Melozone cabanisi,Melozone_cabanisi,no,no,PASSERIFORMES,LC,0.42463150467016,0.636363636363636,33,Yes
Mergus octosetaceus,Mergus_octosetaceus,no,no,ANSERIFORMES,CR,0.0965221377093304,0,0,No
Merops apiaster,Merops_apiaster,yes,no,CORACIIFORMES,LC,0.847303972280773,0.983397190293742,2349,Yes
Merops cyanophrys,Merops_cyanophrys,no,no,CORACIIFORMES,LC,0.975753750072453,0,0,No
Merops persicus,Merops_persicus,yes,no,CORACIIFORMES,LC,0.842777547991414,0.944,125,Yes
Microcarbo pygmaeus,Microcarbo_pygmaeus,yes,no,SULIFORMES,LC,0.463930842395561,0.919354838709677,124,Yes
Microptilotis gracilis,Microptilotis_gracilis,no,no,PASSERIFORMES,LC,0.920465448158222,0,0,No
Microptilotis imitatrix,Microptilotis_imitatrix,no,no,PASSERIFORMES,LC,0.857679124023793,0,0,No
Milvus migrans,Milvus_migrans,yes,no,ACCIPITRIFORMES,LC,0.994034761361104,0.994286342160202,9101,Yes
Milvus milvus,Milvus_milvus,yes,no,ACCIPITRIFORMES,NT,0.699628350064895,0.987217305801377,3051,Yes
Monticola cinclorhyncha,Monticola_cinclorhyncha,yes,no,PASSERIFORMES,LC,0.820139295884782,0.988888888888889,90,Yes
Motacilla alba,Motacilla_alba,yes,no,PASSERIFORMES,LC,0.659300358101972,0.956328645447816,13510,Yes
Motacilla citreola,Motacilla_citreola,yes,no,PASSERIFORMES,LC,0.593120386038481,0.946120689655172,464,Yes
Motacilla flava,Motacilla_flava,yes,no,PASSERIFORMES,LC,0.554113433069801,0.96010296010296,2331,Yes
Motacilla tschutschensis,Motacilla_tschutschensis,yes,no,PASSERIFORMES,LC,0.399758085871686,0.944550669216061,523,Yes
Muscicapa dauurica,Muscicapa_dauurica,yes,no,PASSERIFORMES,LC,0.641272050176678,0.966312056737589,564,Yes
Muscicapa sibirica,Muscicapa_sibirica,yes,no,PASSERIFORMES,LC,0.656807416261369,0.983870967741935,62,Yes
Muscicapa striata,Muscicapa_striata,yes,no,PASSERIFORMES,LC,0.753166489731348,0.972342264477096,1157,Yes
Muscisaxicola capistratus,Muscisaxicola_capistratus,yes,no,PASSERIFORMES,LC,0.305344225338788,0.807692307692308,52,Yes
Myioborus pariae,Myioborus_pariae,no,no,PASSERIFORMES,EN,0.834078775284284,0,0,No
Myiodynastes chrysocephalus,Myiodynastes_chrysocephalus,no,no,PASSERIFORMES,LC,0.600256046114354,0.941176470588235,17,Yes
Myrmoderus eowilsoni,Myrmoderus_eowilsoni,no,no,PASSERIFORMES,NT,0.980926710727975,0,0,No
Myrmotherula snowi,Myrmotherula_snowi,no,no,PASSERIFORMES,CR,0.297265447318872,0,0,No
Neochmia evangelinae,Neochmia_evangelinae,no,no,PASSERIFORMES,LC,0.202655814606175,0,0,No
Neophedina cincta,Neophedina_cincta,yes,no,PASSERIFORMES,LC,0.714420183567108,0,0,No
Neophron percnopterus,Neophron_percnopterus,yes,no,ACCIPITRIFORMES,EN,0.952530035702796,0.982300884955752,678,Yes
Nothura maculosa,Nothura_maculosa,no,no,STRUTHIONIFORMES,LC,0.770340023737525,0.975609756097561,246,Yes
Nycticorax nycticorax,Nycticorax_nycticorax,yes,no,PELECANIFORMES,LC,0.616933062086095,0.927732886110688,6559,Yes
Odontophorus strophium,Odontophorus_strophium,no,no,GALLIFORMES,VU,0.228798920449719,0,0,No
Oenanthe albonigra,Oenanthe_albonigra,no,no,PASSERIFORMES,LC,0.804458770182734,1,25,Yes
Oenanthe chrysopygia,Oenanthe_chrysopygia,yes,no,PASSERIFORMES,LC,0.153199193303291,0,15,Yes
Oenanthe cypriaca,Oenanthe_cypriaca,yes,no,PASSERIFORMES,LC,0.412938662397013,1,24,Yes
Oenanthe finschii,Oenanthe_finschii,yes,no,PASSERIFORMES,LC,0.915861413912222,0.931818181818182,44,Yes
Oenanthe hispanica,Oenanthe_hispanica,yes,no,PASSERIFORMES,LC,0.680244832255186,0.950166112956811,301,Yes
Oenanthe lugens,Oenanthe_lugens,yes,no,PASSERIFORMES,LC,0.989194614501194,0.98780487804878,82,Yes
Oenanthe monacha,Oenanthe_monacha,no,no,PASSERIFORMES,LC,0.923729792541101,0.954545454545455,22,Yes
Oenanthe picata,Oenanthe_picata,yes,no,PASSERIFORMES,LC,0.933972289612258,1,41,Yes
Oenanthe xanthoprymna,Oenanthe_xanthoprymna,yes,no,PASSERIFORMES,LC,0.875011037021858,0,0,No
Oena capensis,Oena_capensis,yes,no,COLUMBIFORMES,LC,0.878386339143197,0.978902953586498,237,Yes
Ortalis guttata,Ortalis_guttata,no,no,GALLIFORMES,LC,0.867281056559868,0.979020979020979,286,Yes
Ortalis squamata,Ortalis_squamata,no,no,GALLIFORMES,LC,0.616858041048287,1,19,Yes
Otus cyprius,Otus_cyprius,no,no,STRIGIFORMES,LC,0.820000880842438,0,0,No
Otus scops,Otus_scops,yes,no,STRIGIFORMES,LC,0.714935067530428,0.974647887323944,355,Yes
Pandion haliaetus,Pandion_haliaetus,yes,no,ACCIPITRIFORMES,LC,0.601416141724297,0.91516290726817,15960,Yes
Passerculus bairdii,Passerculus_bairdii,yes,no,PASSERIFORMES,LC,0.0392449865695452,0,0,No
Passerculus henslowii,Passerculus_henslowii,yes,no,PASSERIFORMES,LC,0.447759258775867,0,0,No
Passer domesticus,Passer_domesticus,yes,no,PASSERIFORMES,LC,0.971363927311104,0.993265788994722,16483,Yes
Passer hispaniolensis,Passer_hispaniolensis,yes,no,PASSERIFORMES,LC,0.953626319251561,0.967871485943775,996,Yes
Passer moabiticus,Passer_moabiticus,yes,no,PASSERIFORMES,LC,0.55680824898918,0.235294117647059,17,Yes
Pelecanoides georgicus,Pelecanoides_georgicus,yes,no,PROCELLARIIFORMES,LC,0.0963188157490831,0,0,No
Penelope ortoni,Penelope_ortoni,no,no,GALLIFORMES,EN,0.703932213776713,0,0,No
Petrochelidon fulva,Petrochelidon_fulva,yes,no,PASSERIFORMES,LC,0.781326760948574,0.966165413533835,532,Yes
Pezoporus occidentalis,Pezoporus_occidentalis,no,no,PSITTACIFORMES,EN,0.949456108754933,0,0,No
Phaethornis bourcieri,Phaethornis_bourcieri,no,no,CAPRIMULGIFORMES,LC,0.939914798156695,1,12,Yes
Phaethornis major,Phaethornis_major,no,no,CAPRIMULGIFORMES,LC,0.942214193484824,0,0,No
Phalacrocorax carbo,Phalacrocorax_carbo,yes,no,SULIFORMES,LC,0.420299901542821,0.910919062655809,6017,Yes
Phalacrocorax nigrogularis,Phalacrocorax_nigrogularis,yes,no,SULIFORMES,VU,0.538035196048497,0.9,10,Yes
Phalaropus lobatus,Phalaropus_lobatus,yes,no,CHARADRIIFORMES,LC,0.106736998988708,0.753968253968254,252,Yes
Phoenicopterus roseus,Phoenicopterus_roseus,yes,no,PHOENICOPTERIFORMES,LC,0.325452599947991,0.898523985239852,832,Yes
Phoenicurus ochruros,Phoenicurus_ochruros,yes,no,PASSERIFORMES,LC,0.767121324991488,0.974703697151955,5653,Yes
Phoenicurus phoenicurus,Phoenicurus_phoenicurus,yes,no,PASSERIFORMES,LC,0.926570879058136,0.988183161004431,677,Yes
Phylloscopus burkii,Phylloscopus_burkii,yes,no,PASSERIFORMES,LC,0.422996166911461,0,0,No
Phylloscopus collybita,Phylloscopus_collybita,yes,no,PASSERIFORMES,LC,0.773749650064574,0.91841385597083,6582,Yes
Phylloscopus ibericus,Phylloscopus_ibericus,yes,no,PASSERIFORMES,LC,0.593029911135326,0.956228956228956,297,Yes
Phylloscopus neglectus,Phylloscopus_neglectus,yes,no,PASSERIFORMES,LC,0.797874868598829,0,0,No
Phylloscopus nitidus,Phylloscopus_nitidus,yes,no,PASSERIFORMES,LC,0.716877161930626,1,298,Yes
Phylloscopus presbytes,Phylloscopus_presbytes,no,no,PASSERIFORMES,LC,0.869695692841977,1,17,Yes
Phylloscopus rotiensis,Phylloscopus_rotiensis,no,no,PASSERIFORMES,NT,0.781136385989827,0,0,No
