BINOMIAL,AOH_name,is.migratory,excluded,Order_,F2019_Iucn_Red_List_Category,Model_prevalence,Point_prevalence,Number_of_Validation_Points,Point_validation
Poecile palustris,Poecile_palustris,no,no,PASSERIFORMES,LC,0.842507264300326,0.998897464167585,907,Yes
Microptilotis flavirictus,Microptilotis_flavirictus,no,no,PASSERIFORMES,LC,0.952899404838281,0,0,No
Devioeca papuana,Devioeca_papuana,no,no,PASSERIFORMES,LC,0.785023816555534,0,0,No
Calendulauda africanoides,Calendulauda_africanoides,no,no,PASSERIFORMES,LC,0.7860561805963,0,0,No
Calendulauda alopex,Calendulauda_alopex,no,no,PASSERIFORMES,LC,0.810831749261742,0,0,No
Symposiachrus axillaris,Symposiachrus_axillaris,no,no,PASSERIFORMES,LC,0.779068517033631,0,0,No
Symposiachrus guttula,Symposiachrus_guttula,no,no,PASSERIFORMES,LC,0.933892175520917,0,0,No
Symposiachrus trivirgatus,Symposiachrus_trivirgatus,yes,no,PASSERIFORMES,LC,0.739028098437189,1,152,Yes
Atticora tibialis,Atticora_tibialis,no,no,PASSERIFORMES,LC,0.975352010093795,0.973684210526316,38,Yes
Periparus ater,Periparus_ater,yes,no,PASSERIFORMES,LC,0.567473404341179,0.972097209720972,3333,Yes
Poecile atricapillus,Poecile_atricapillus,no,no,PASSERIFORMES,LC,0.508957634780386,0.965350811298077,53248,Yes
Poecile gambeli,Poecile_gambeli,no,no,PASSERIFORMES,LC,0.421567518547808,0.941723614274867,5268,Yes
Poecile hypermelaenus,Poecile_hypermelaenus,no,no,PASSERIFORMES,LC,0.709992587183289,0,0,No
Sittiparus semilarvatus,Sittiparus_semilarvatus,no,no,PASSERIFORMES,NT,0.770987717185552,0,0,No
Phedinopsis brazzae,Phedinopsis_brazzae,no,no,PASSERIFORMES,LC,0.629240689355003,0,0,No
Machlolophus xanthogenys,Machlolophus_xanthogenys,no,no,PASSERIFORMES,LC,0.406016382577106,1,65,Yes
Melanorectes nigrescens,Melanorectes_nigrescens,no,no,PASSERIFORMES,LC,0.773199337087092,0,0,No
Gennaeodryas placens,Gennaeodryas_placens,no,no,PASSERIFORMES,NT,0.94712448164841,0,0,No
Cyanocorax morio,Cyanocorax_morio,no,no,PASSERIFORMES,LC,0.940443064604193,0,0,No
Lophorina intercedens,Lophorina_intercedens,no,no,PASSERIFORMES,LC,0.873898021058789,0,0,No
Lophorina magnifica,Lophorina_magnifica,no,no,PASSERIFORMES,LC,0.939415421922242,0,0,No
Ramphocoris clotbey,Ramphocoris_clotbey,no,no,PASSERIFORMES,LC,0.967197337807227,0,0,No
Bocagia minuta,Bocagia_minuta,no,no,PASSERIFORMES,LC,0.365534282574811,0,0,No
Chlorophoneus multicolor,Chlorophoneus_multicolor,no,no,PASSERIFORMES,LC,0.841179306856473,0,0,No
Chlorophoneus nigrifrons,Chlorophoneus_nigrifrons,no,no,PASSERIFORMES,LC,0.571811818348655,0,0,No
Zimmerius gracilipes,Zimmerius_gracilipes,no,no,PASSERIFORMES,LC,0.855642329946289,0.966666666666667,30,Yes
Arses lorealis,Arses_lorealis,no,no,PASSERIFORMES,LC,0.821886782343021,0,0,No
Arses telescopthalmus,Arses_telescopthalmus,no,no,PASSERIFORMES,LC,0.655735502515424,0,0,No
Phyllomyias zeledoni,Phyllomyias_zeledoni,no,no,PASSERIFORMES,LC,0.515480548585867,0,0,No
Mirafra assamica,Mirafra_assamica,no,no,PASSERIFORMES,LC,0.670609176452054,0.953488372093023,43,Yes
Bradypterus baboecala,Bradypterus_baboecala,no,no,PASSERIFORMES,LC,0.0987445978634278,0.428571428571429,35,Yes
Bradypterus centralis,Bradypterus_centralis,no,no,PASSERIFORMES,LC,0.220387144516342,0,0,No
Cisticola luapula,Cisticola_luapula,no,no,PASSERIFORMES,LC,0.407043594571577,0,0,No
Cisticola brunnescens,Cisticola_brunnescens,no,no,PASSERIFORMES,LC,0.690980295339819,0,0,No
Cisticola cinnamomeus,Cisticola_cinnamomeus,no,no,PASSERIFORMES,LC,0.127393907296971,0,0,No
Cisticola lugubris,Cisticola_lugubris,no,no,PASSERIFORMES,LC,0.412184939636483,0.705882352941177,17,Yes
Cisticola marginatus,Cisticola_marginatus,no,no,PASSERIFORMES,LC,0.250771816934768,0.763157894736842,38,Yes
Edolisoma tenuirostre,Edolisoma_tenuirostre,yes,no,PASSERIFORMES,LC,0.765567808779329,1,207,Yes
Corvus enca,Corvus_enca,no,no,PASSERIFORMES,LC,0.947530214369614,1,55,Yes
Corvus orru,Corvus_orru,no,no,PASSERIFORMES,LC,0.585530913725813,0.98234106962664,1982,Yes
Delichon urbicum,Delichon_urbicum,yes,no,PASSERIFORMES,LC,0.665284008033591,0.954590818363273,6012,Yes
Dendrocitta cinerascens,Dendrocitta_cinerascens,no,no,PASSERIFORMES,LC,0.815317127180385,1,12,Yes
Dicrurus modestus,Dicrurus_modestus,no,no,PASSERIFORMES,LC,0.975997840471233,0,0,No
Drymodes beccarii,Drymodes_beccarii,no,no,PASSERIFORMES,LC,0.915825586426993,0,0,No
Eremomela canescens,Eremomela_canescens,no,no,PASSERIFORMES,LC,0.519440970043318,0,0,No
Garrulus glandarius,Garrulus_glandarius,no,no,PASSERIFORMES,LC,0.0465969552510563,0.0451141894421565,5342,Yes
Grallaria rufula,Grallaria_rufula,no,no,PASSERIFORMES,LC,0.303439263461125,0.853658536585366,41,Yes
Hirundinea bellicosa,Hirundinea_bellicosa,no,no,PASSERIFORMES,LC,0.626902497993998,0,0,No
Lanius meridionalis,Lanius_meridionalis,yes,no,PASSERIFORMES,VU,0.851081783856676,0.954301075268817,1116,Yes
Lanius borealis,Lanius_borealis,yes,no,PASSERIFORMES,LC,0.976581000954338,0.996708979783733,2127,Yes
Microeca flavigaster,Microeca_flavigaster,no,no,PASSERIFORMES,LC,0.909009638017762,0.989130434782609,92,Yes
Machetornis rixosa,Machetornis_rixosa,no,no,PASSERIFORMES,LC,0.207178696022658,0.477135461604832,1159,Yes
Symposiachrus barbatus,Symposiachrus_barbatus,no,no,PASSERIFORMES,NT,0.951899193863453,0,0,No
Monarcha cinerascens,Monarcha_cinerascens,no,no,PASSERIFORMES,LC,0.842100902644248,1,42,Yes
Myiagra nana,Myiagra_nana,no,no,PASSERIFORMES,LC,0.637053446536596,0.977011494252874,174,Yes
Myiopagis olallai,Myiopagis_olallai,no,no,PASSERIFORMES,VU,0.340941408359546,0,0,No
Melaniparus guineensis,Melaniparus_guineensis,no,no,PASSERIFORMES,LC,0.967503989669699,0,0,No
Myzomela chloroptera,Myzomela_chloroptera,no,no,PASSERIFORMES,LC,0.485540465025782,0,0,No
Myzomela cineracea,Myzomela_cineracea,no,no,PASSERIFORMES,LC,0.962186868747537,0,0,No
Pachycephala feminina,Pachycephala_feminina,no,no,PASSERIFORMES,NT,0.728320426636885,0,0,No
Pachycephala mentalis,Pachycephala_mentalis,no,no,PASSERIFORMES,LC,0.989638150640305,0,0,No
Pachycephala par,Pachycephala_par,no,no,PASSERIFORMES,LC,0.706131283342413,0,0,No
Pachycephala pectoralis,Pachycephala_pectoralis,no,no,PASSERIFORMES,LC,0.714182768061132,0.995786516853933,712,Yes
Pachyramphus polychopterus,Pachyramphus_polychopterus,no,no,PASSERIFORMES,LC,0.749883890965953,0.989417989417989,378,Yes
Cyanistes caeruleus,Cyanistes_caeruleus,yes,no,PASSERIFORMES,LC,0.828931590952779,0.984787018255578,9860,Yes
Phylloscartes superciliaris,Phylloscartes_superciliaris,no,no,PASSERIFORMES,LC,0.808185914589054,0,0,No
Piprites chloris,Piprites_chloris,no,no,PASSERIFORMES,LC,0.854240146031032,1,60,Yes
Pitta novaeguineae,Pitta_novaeguineae,no,no,PASSERIFORMES,LC,0.763943576994414,0,0,No
Prinia fluviatilis,Prinia_fluviatilis,no,no,PASSERIFORMES,LC,0.974305145319821,0,0,No
Prinia atrogularis,Prinia_atrogularis,no,no,PASSERIFORMES,LC,0.588348164032854,0,0,No
