BINOMIAL,AOH_name,is.migratory,excluded
Eclectus infectus,Eclectus_infectus,na,EX
Heteralocha acutirostris,Heteralocha_acutirostris,na,EX
Megapodius pritchardii,Megapodius_pritchardii,no,NULL_Range
Nesoenas duboisi,Nesoenas_duboisi,na,EX
Sterna dougallii,Sterna_dougallii,na,habitat_marin
Todiramphus reichenbachii,Todiramphus_reichenbachii,no,NULL_Range
Ammospiza caudacuta,Ammospiza_caudacuta,na,habitat_marin
Aethia psittacula,Aethia_psittacula,na,habitat_marin
Aethia pusilla,Aethia_pusilla,na,habitat_marin
Alca torda,Alca_torda,na,habitat_marin
Alle alle,Alle_alle,na,habitat_marin
Ammospiza maritima,Ammospiza_maritima,na,habitat_marin
Mimus trifasciatus,Mimus_trifasciatus,no,NULL_AOH
Zosterops natalis,Zosterops_natalis,no,NULL_Range
Alopecoenas erythropterus,Alopecoenas_erythropterus,no,NULL_Range
Eudyptes sclateri,Eudyptes_sclateri,na,habitat_marin
Foudia sechellarum,Foudia_sechellarum,no,NULL_Range
Hydrobates cheimomnestes,Hydrobates_cheimomnestes,na,habitat_marin
Hydrobates leucorhous,Hydrobates_leucorhous,na,habitat_marin
Hydrobates socorroensis,Hydrobates_socorroensis,na,habitat_marin
Phoenicopterus ruber,Phoenicopterus_ruber,na,habitat_marin
Pomarea dimidiata,Pomarea_dimidiata,no,NULL_Range
Puffinus myrtae,Puffinus_myrtae,na,NULL_Range
Todiramphus gambieri,Todiramphus_gambieri,no,NULL_Range
Uria lomvia,Uria_lomvia,na,habitat_marin
Vini ultramarina,Vini_ultramarina,no,NULL_Range
Zosterops conspicillatus,Zosterops_conspicillatus,na,EX
Terpsiphone corvina,Terpsiphone_corvina,no,NULL_Range
Pachyptila macgillivrayi,Pachyptila_macgillivrayi,na,NULL_Range
